epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
94,2193.84,1.05686,1.19077,1.31276,0.71179,0.73955,0.74718,0.39812,1.57819,1.25284,1.72756,0.00069825,0.00023275,0.00069825,0.00023275,0.00069825,0.00023275,0.00069825,0.00023275
95,2216.67,1.07064,1.19543,1.33034,0.74607,0.71278,0.74516,0.40186,1.58869,1.26317,1.73693,0.0006735,0.0002245,0.0006735,0.0002245,0.0006735,0.0002245,0.0006735,0.0002245
96,2239.5,1.06259,1.20584,1.32164,0.75705,0.69319,0.74239,0.3886,1.607,1.2786,1.75098,0.00064875,0.00021625,0.00064875,0.00021625,0.00064875,0.00021625,0.00064875,0.00021625
97,2262.18,1.06167,1.20317,1.32585,0.74434,0.68741,0.74241,0.39177,1.61103,1.25864,1.75119,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
98,2285.04,1.04432,1.17539,1.31051,0.73727,0.7044,0.74095,0.39587,1.60032,1.26877,1.7373,0.00059925,0.00019975,0.00059925,0.00019975,0.00059925,0.00019975,0.00059925,0.00019975
99,2309.55,1.05991,1.21046,1.30954,0.74227,0.72209,0.74988,0.39936,1.60958,1.25195,1.75561,0.0005745,0.0001915,0.0005745,0.0001915,0.0005745,0.0001915,0.0005745,0.0001915
100,2332.73,1.04429,1.19143,1.31115,0.74138,0.70757,0.75577,0.40051,1.5937,1.24527,1.74172,0.00054975,0.00018325,0.00054975,0.00018325,0.00054975,0.00018325,0.00054975,0.00018325
101,2356.55,1.05118,1.20445,1.31236,0.72721,0.7136,0.75038,0.39554,1.61425,1.25816,1.75066,0.000525,0.000175,0.000525,0.000175,0.000525,0.000175,0.000525,0.000175
102,2380.3,1.03284,1.17006,1.30452,0.69399,0.72188,0.741,0.39407,1.60573,1.26305,1.73494,0.00050025,0.00016675,0.00050025,0.00016675,0.00050025,0.00016675,0.00050025,0.00016675
103,2404.03,1.04508,1.16731,1.31324,0.74761,0.70406,0.74432,0.4004,1.5851,1.25188,1.72715,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585
104,2428.94,1.03889,1.17743,1.30793,0.75638,0.69265,0.74989,0.4009,1.60245,1.24562,1.74894,0.00045075,0.00015025,0.00045075,0.00015025,0.00045075,0.00015025,0.00045075,0.00015025
105,2451.97,1.05569,1.18722,1.31194,0.71529,0.71522,0.745,0.39505,1.60973,1.25754,1.75876,0.000426,0.000142,0.000426,0.000142,0.000426,0.000142,0.000426,0.000142
106,2474.79,1.03935,1.17388,1.3086,0.71018,0.72347,0.74593,0.3988,1.60582,1.25628,1.75367,0.00040125,0.00013375,0.00040125,0.00013375,0.00040125,0.00013375,0.00040125,0.00013375
107,2497.51,1.03882,1.15827,1.3077,0.70993,0.72493,0.74691,0.40046,1.59831,1.2634,1.75745,0.0003765,0.0001255,0.0003765,0.0001255,0.0003765,0.0001255,0.0003765,0.0001255
108,2520.51,1.0503,1.1553,1.31254,0.70847,0.7096,0.73734,0.39102,1.60143,1.26461,1.75862,0.00035175,0.00011725,0.00035175,0.00011725,0.00035175,0.00011725,0.00035175,0.00011725
109,2544.11,1.02988,1.14712,1.29673,0.68838,0.73922,0.73785,0.39224,1.61157,1.25802,1.76776,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
110,2566.96,1.03401,1.16309,1.31102,0.71825,0.72154,0.74836,0.3948,1.60535,1.25688,1.75542,0.00030225,0.00010075,0.00030225,0.00010075,0.00030225,0.00010075,0.00030225,0.00010075
111,2615.93,0.90997,1.05284,1.22174,0.69591,0.73742,0.74289,0.39787,1.58302,1.25648,1.74057,0.0002775,9.25e-05,0.0002775,9.25e-05,0.0002775,9.25e-05,0.0002775,9.25e-05
112,2641.03,0.90584,1.03641,1.23692,0.70073,0.74123,0.74376,0.39696,1.58595,1.25356,1.74853,0.00025275,8.425e-05,0.00025275,8.425e-05,0.00025275,8.425e-05,0.00025275,8.425e-05
113,2682.41,0.89524,1.02611,1.20698,0.70562,0.72863,0.74069,0.39324,1.60817,1.26208,1.75821,0.000228,7.6e-05,0.000228,7.6e-05,0.000228,7.6e-05,0.000228,7.6e-05
114,2746.21,0.89692,1.02089,1.219,0.70739,0.71948,0.74618,0.39691,1.59721,1.25057,1.75547,0.00020325,6.775e-05,0.00020325,6.775e-05,0.00020325,6.775e-05,0.00020325,6.775e-05
115,2775.28,0.89709,1.04041,1.21609,0.70404,0.72003,0.74165,0.39851,1.59211,1.24745,1.7512,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05
116,2798.92,0.88397,1.03674,1.209,0.70331,0.71691,0.74279,0.39763,1.59512,1.25285,1.75519,0.00015375,5.125e-05,0.00015375,5.125e-05,0.00015375,5.125e-05,0.00015375,5.125e-05
117,2822,0.90161,1.03321,1.21878,0.72102,0.70711,0.74368,0.39532,1.59532,1.25343,1.75268,0.000129,4.3e-05,0.000129,4.3e-05,0.000129,4.3e-05,0.000129,4.3e-05
118,2845.84,0.88802,1.02954,1.20924,0.72523,0.70215,0.74472,0.39687,1.59622,1.25059,1.75529,0.00010425,3.475e-05,0.00010425,3.475e-05,0.00010425,3.475e-05,0.00010425,3.475e-05
119,2868.79,0.87505,1.01686,1.20746,0.72783,0.71212,0.74836,0.39806,1.59684,1.24871,1.75585,7.95e-05,2.65e-05,7.95e-05,2.65e-05,7.95e-05,2.65e-05,7.95e-05,2.65e-05
120,2891.51,0.8985,1.03592,1.21312,0.70569,0.71788,0.7441,0.39837,1.60175,1.24951,1.76502,5.475e-05,1.825e-05,5.475e-05,1.825e-05,5.475e-05,1.825e-05,5.475e-05,1.825e-05
